,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
346,Lugazi,UG,0.3772,32.9197,65.88,65,66,1.3,broken clouds
347,Valleyview,CA,55.0667,-117.2859,37.44,52,92,10.36,overcast clouds
348,Araguacu,BR,-12.9306,-49.8264,70.18,95,100,4.09,overcast clouds
349,Xining,CN,36.6167,101.7667,17.55,60,22,2.68,few clouds
350,Gejiu,CN,23.306,103.1635,55.53,39,46,10.6,scattered clouds
351,Newton,US,42.337,-71.2092,34.56,66,100,3.0,overcast clouds
352,Trincomalee,LK,8.5711,81.2335,80.82,79,15,11.56,few clouds
353,Port Hardy,CA,50.6996,-127.4199,46.76,81,100,3.44,overcast clouds
354,Agadir,MA,30.4202,-9.5982,66.65,36,11,27.49,few clouds
355,Cheyenne,US,41.14,-104.8203,35.98,34,0,11.5,clear sky
356,Gushikawa,JP,26.3544,127.8686,65.43,95,0,13.8,light rain
357,Geraldton,AU,-28.7667,114.6,106.21,21,0,12.66,clear sky
358,Bayonet Point,US,28.3267,-82.6834,61.21,74,96,8.99,overcast clouds
359,Bethel,US,41.3712,-73.414,30.29,86,100,1.99,light snow
360,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,9.22,light snow
361,Pokhara,NP,28.2333,83.9833,55.35,55,5,3.78,clear sky
362,Ritchie,ZA,-29.038,24.6028,60.01,62,14,13.06,few clouds
363,Nadym,RU,65.5333,72.5167,-8.93,96,71,8.3,broken clouds
364,West Wendover,US,40.7391,-114.0733,28.33,45,0,1.1,clear sky
365,Cabo San Lucas,MX,22.8909,-109.9124,70.52,64,0,1.99,clear sky
366,Tautira,PF,-17.7333,-149.15,84.0,75,24,16.2,light rain
367,Wewak,PG,-3.5534,143.6268,82.29,78,94,4.81,overcast clouds
368,Ostrovnoy,RU,68.0531,39.5131,13.5,92,98,9.46,overcast clouds
369,Faya,SA,18.3851,42.4509,50.52,91,36,6.55,scattered clouds
370,Ukiah,US,39.1502,-123.2078,51.15,60,0,0.0,clear sky
371,Miyako,JP,39.6367,141.9525,36.48,42,63,11.05,broken clouds
372,Kishi,NG,9.0833,3.85,72.09,25,5,6.2,clear sky
373,Oda,JP,35.1833,132.5,47.17,53,85,13.29,overcast clouds
374,Uvalde,US,29.3669,-99.767,47.59,30,0,3.44,clear sky
375,Missoula,US,47.0166,-113.8009,16.54,77,74,1.61,broken clouds
376,Santarem,BR,-2.4431,-54.7083,77.13,94,100,5.75,moderate rain
377,Shubarshi,KZ,48.5872,57.1869,12.63,95,100,2.04,overcast clouds
378,Paamiut,GL,61.994,-49.6678,21.88,83,100,26.26,light snow
379,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.2,65,0,6.91,clear sky
380,Codo,BR,-4.4553,-43.8856,70.92,99,100,3.18,overcast clouds
381,Beringovskiy,RU,63.05,179.3167,-0.92,98,99,0.47,overcast clouds
382,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.78,90,60,16.64,broken clouds
383,Uyemskiy,RU,64.4743,40.8524,15.85,86,75,4.47,snow
384,Waipawa,NZ,-41.4122,175.5153,72.23,40,1,4.5,clear sky
385,Presidente Medici,BR,-11.1753,-61.9014,72.93,97,100,3.15,overcast clouds
386,Inawashiro,JP,37.5667,140.1167,36.77,81,84,4.76,broken clouds
387,Fort Nelson,CA,58.8053,-122.7002,15.39,86,100,5.75,light snow
388,Sept-Iles,CA,50.2001,-66.3821,-8.88,64,0,8.05,clear sky
389,Komsomolskiy,UZ,40.4272,71.7189,33.22,84,100,1.23,light snow
390,Chicama,PE,-7.8447,-79.1469,66.74,78,92,5.37,overcast clouds
391,Port Hedland,AU,-20.3167,118.5667,95.05,43,96,9.22,overcast clouds
392,Baiyin,CN,36.5583,104.2081,23.88,69,86,5.53,overcast clouds
393,Champerico,GT,14.3,-91.9167,82.35,73,1,7.36,clear sky
394,Soyo,AO,-6.1349,12.3689,77.54,88,86,2.59,overcast clouds
395,Fort Frances,CA,48.5999,-93.4003,-11.83,76,0,0.0,clear sky
396,Severobaykalsk,RU,55.65,109.3167,-1.68,86,19,2.21,few clouds
397,Khuzhir,RU,53.1939,107.3397,4.01,87,100,3.53,overcast clouds
398,Prizren,XK,42.2139,20.7397,31.64,78,60,3.83,broken clouds
399,Pangkalanbuun,ID,-2.6833,111.6167,87.73,59,100,2.39,overcast clouds
400,Magadi,IN,12.9667,77.2333,69.46,54,22,12.19,few clouds
401,Katsina,NG,12.9894,7.6006,59.36,16,0,15.32,clear sky
402,Bangkalan,ID,-7.0455,112.7351,85.95,69,97,6.2,overcast clouds
403,Goure,NE,13.9835,10.2704,59.02,13,1,12.5,clear sky
404,Emiliano Zapata,MX,18.8333,-99.1833,74.66,39,32,2.24,scattered clouds
405,Bay City,US,43.5945,-83.8889,7.02,82,0,0.0,clear sky
406,Talara,PE,-4.5772,-81.2719,71.85,84,100,6.98,overcast clouds
407,Shache,CN,38.4167,77.2406,30.7,35,99,0.25,overcast clouds
408,Henties Bay,NA,-22.116,14.2845,61.86,83,99,1.68,overcast clouds
409,Luanda,AO,-8.8368,13.2343,77.16,85,100,3.11,overcast clouds
410,Andenes,NO,69.3143,16.1194,26.58,63,15,23.02,few clouds
411,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,4.61,clear sky
412,Tecoanapa,MX,16.5167,-98.75,77.94,75,7,2.95,clear sky
413,Tricase,IT,39.9304,18.3553,43.95,59,89,23.06,overcast clouds
414,Janakkala,FI,60.9,24.6,20.48,92,67,4.45,broken clouds
415,Tura,IN,25.5198,90.2201,65.91,35,0,2.68,clear sky
416,Saquarema,BR,-22.92,-42.5103,74.98,93,100,6.64,light rain
417,Matamoros,MX,25.5333,-103.25,53.71,54,100,12.66,overcast clouds
418,Tambura,SS,5.6,27.4667,64.02,25,22,5.61,few clouds
419,Tamandare,BR,-8.7597,-35.1047,77.43,83,100,9.19,moderate rain
420,Dolgorukovo,RU,52.3195,38.3453,25.63,97,94,5.97,light snow
421,Nizhnevartovsk,RU,60.9344,76.5531,-8.99,84,0,4.47,clear sky
422,Luganville,VU,-15.5333,167.1667,81.0,85,100,13.31,light rain
423,Puri,IN,19.8,85.85,64.92,49,10,7.9,clear sky
424,Kaniama,CD,-7.5667,24.1833,66.34,96,100,2.71,overcast clouds
425,Haines Junction,CA,60.7522,-137.5108,26.55,68,100,10.36,overcast clouds
426,Malinyi,TZ,-8.9333,36.1333,71.26,99,100,0.87,light rain
427,Cahokia,US,38.5709,-90.1901,19.6,67,0,8.05,clear sky
428,Masvingo,ZW,-20.0637,30.8277,67.05,92,100,3.18,moderate rain
429,Ribeira Brava,PT,32.65,-17.0667,61.43,52,64,5.06,broken clouds
430,Awjilah,LY,29.1081,21.2869,49.89,81,45,8.14,scattered clouds
431,Naron,ES,43.5167,-8.1528,43.83,79,1,6.67,clear sky
432,Cumpas,MX,29.9833,-109.7833,54.73,31,95,9.1,overcast clouds
433,Huangnihe,CN,43.5583,128.0239,10.06,69,52,12.77,broken clouds
434,Mwinilunga,ZM,-11.7358,24.4293,59.67,99,78,4.81,broken clouds
435,Samana,DO,19.2056,-69.3369,70.99,86,0,5.12,clear sky
436,Caravelas,BR,-17.7125,-39.2481,75.43,94,40,6.24,scattered clouds
437,Iskateley,RU,67.6803,53.1512,4.23,93,100,11.92,overcast clouds
438,Viedma,AR,-40.8135,-62.9967,77.54,36,0,19.01,clear sky
439,Diego De Almagro,CL,-26.3667,-70.05,60.19,69,0,2.48,clear sky
440,Maceio,BR,-9.6658,-35.7353,80.04,89,20,2.3,light rain
441,Buraydah,SA,26.326,43.975,50.45,38,97,7.87,overcast clouds
442,Oranjestad,AW,12.524,-70.027,78.75,73,20,9.22,few clouds
443,Severo-Yeniseyskiy,RU,60.3725,93.0408,2.89,94,99,5.53,overcast clouds
444,Kaeo,NZ,-35.1,173.7833,72.32,69,99,13.04,overcast clouds
445,Coihaique,CL,-45.5752,-72.0662,66.81,42,0,3.44,clear sky
446,Reconquista,AR,-29.15,-59.65,68.52,48,0,7.72,clear sky
447,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,10.71,few clouds
448,Bantou,CN,26.2151,117.4893,49.42,87,100,3.4,overcast clouds
449,Wexford,IE,52.3342,-6.4575,53.67,84,90,20.47,overcast clouds
450,Cap-Aux-Meules,CA,47.3821,-61.8597,24.85,93,100,11.5,overcast clouds
451,Kavaratti,IN,10.5669,72.642,80.67,72,7,10.65,clear sky
452,Tucumcari,US,35.1717,-103.725,33.64,37,0,5.75,clear sky
453,Itarema,BR,-2.9248,-39.9167,73.74,82,100,3.44,overcast clouds
454,Ahipara,NZ,-35.1667,173.1667,74.93,51,100,7.31,overcast clouds
455,Harindanga,IN,22.0383,88.3214,58.98,40,5,9.86,clear sky
456,Meihekou,CN,42.5272,125.6753,14.32,67,5,9.17,clear sky
457,Naze,JP,28.3667,129.4833,56.32,83,100,9.01,overcast clouds
458,Imbituba,BR,-28.24,-48.6703,70.83,79,95,5.48,overcast clouds
459,Honningsvag,NO,70.9821,25.9704,28.71,60,98,6.42,overcast clouds
460,Hovd,MN,48.0056,91.6419,-3.64,64,2,0.87,clear sky
461,Constitucion,CL,-35.3333,-72.4167,56.39,93,7,3.87,clear sky
462,Tongliao,CN,43.6125,122.2653,15.21,72,0,9.31,clear sky
463,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,55,0,13.8,clear sky
464,Kamenka,RU,51.3223,42.7678,24.15,96,100,11.54,light snow
465,Malpe,IN,13.35,74.7167,79.9,53,29,5.12,scattered clouds
466,Rosarito,MX,32.3333,-117.0333,61.77,25,11,12.01,few clouds
467,Deputatskiy,RU,69.3,139.9,-22.29,97,85,1.79,overcast clouds
468,Tupik,RU,54.4253,119.9327,3.4,74,65,3.2,broken clouds
469,Raton,US,36.9034,-104.4391,29.59,50,0,9.22,clear sky
470,Chara,RU,56.9064,118.2631,-7.08,94,30,1.07,scattered clouds
471,Sangar,RU,63.9242,127.4739,-23.3,97,92,0.96,overcast clouds
472,Lincoln,US,40.8,-96.667,30.16,63,0,5.99,clear sky
473,Kropotkin,RU,45.4375,40.5756,30.58,85,100,10.69,overcast clouds
474,Tiznit,MA,29.5833,-9.5,53.82,39,0,25.19,clear sky
475,Tevaitoa,PF,-16.7833,-151.5,81.63,74,9,16.04,light rain
476,Kavieng,PG,-2.5744,150.7967,83.28,73,100,3.04,light rain
477,Bundaberg,AU,-24.85,152.35,88.09,57,52,7.0,broken clouds
478,Plastun,RU,44.7561,136.2939,12.58,45,24,14.12,few clouds
479,Vestmannaeyjar,IS,63.4427,-20.2734,25.75,68,58,27.98,broken clouds
480,Zeya,RU,53.75,127.2667,10.13,54,100,6.91,overcast clouds
481,Muyezerskiy,RU,63.9333,31.65,-1.75,100,72,3.91,broken clouds
482,Marienburg,PL,54.0359,19.0266,33.46,79,100,8.14,overcast clouds
483,Lomovka,RU,53.9194,58.3672,2.32,98,100,2.84,overcast clouds
484,Buta,CD,2.7858,24.73,64.26,47,61,0.49,broken clouds
485,Impfondo,CG,1.6381,18.0667,69.8,41,19,2.64,few clouds
486,Parati,BR,-23.2178,-44.7131,74.44,97,100,2.73,light rain
487,Omboue,GA,-1.5746,9.2618,76.62,87,99,5.79,overcast clouds
488,Boulder City,US,35.9786,-114.8325,50.43,12,0,0.0,clear sky
489,Trogir,HR,43.5125,16.2517,44.65,33,0,12.66,clear sky
490,Torbay,CA,47.6666,-52.7314,29.57,87,100,11.5,overcast clouds
491,Cleethorpes,GB,53.5605,-0.0323,53.98,81,75,14.97,broken clouds
492,Bubaque,GW,11.2833,-15.8333,77.07,60,25,14.63,scattered clouds
493,Lehigh Acres,US,26.6254,-81.6248,66.15,84,0,1.01,clear sky
494,Altay,CN,47.8667,88.1167,6.69,61,0,4.85,clear sky
495,Saint-Francois,FR,46.4154,3.9054,32.68,100,100,5.75,overcast clouds
496,Zhaotong,CN,27.3167,103.7167,35.13,64,96,2.48,overcast clouds
497,Chusovoy,RU,58.3013,57.8131,5.72,96,99,2.93,overcast clouds
498,Panzhihua,CN,26.5851,101.7128,59.18,50,0,0.92,clear sky
499,Cockburn Town,TC,21.4612,-71.1419,78.01,76,7,7.85,clear sky
500,Dhidhdhoo,MV,6.8833,73.1,82.02,74,40,19.35,scattered clouds
501,Piranhas,BR,-16.4269,-51.8222,70.11,97,92,3.38,overcast clouds
502,Padang,ID,-0.9492,100.3543,86.05,67,88,4.68,overcast clouds
503,Birao,CF,10.2849,22.7882,62.69,15,35,10.54,scattered clouds
504,Huarmey,PE,-10.0681,-78.1522,70.38,84,100,7.4,overcast clouds
505,Zhucheng,CN,35.9947,119.3975,38.19,25,8,7.2,clear sky
506,Saint-Leu,RE,-21.15,55.2833,77.58,63,0,4.79,clear sky
507,Husavik,IS,66.0449,-17.3389,24.71,95,100,27.72,snow
508,Amahai,ID,-3.3333,128.9167,85.86,65,99,7.25,overcast clouds
509,Picton,AU,-34.1833,150.6,89.02,54,78,8.34,broken clouds
510,Rimbey,CA,52.6334,-114.2353,38.32,82,100,4.29,overcast clouds
511,Luderitz,NA,-26.6481,15.1594,66.42,75,0,20.49,clear sky
512,Khanewal,PK,30.3,71.9333,46.22,25,1,4.09,clear sky
513,Yar-Sale,RU,66.8333,70.8333,-8.34,98,98,7.47,overcast clouds
514,Kathmandu,NP,27.7167,85.3167,43.02,87,20,0.0,mist
515,Grants,US,35.1473,-107.8514,21.43,68,0,0.0,clear sky
516,Northam,GB,51.0333,-4.2167,50.41,98,100,19.22,overcast clouds
517,Santiago Del Estero,AR,-27.7951,-64.2615,69.19,58,0,3.44,clear sky
518,Port Hawkesbury,CA,45.6169,-61.3485,36.18,91,100,3.0,overcast clouds
519,Oron,NG,4.8256,8.2343,74.89,77,100,2.1,overcast clouds
520,Pirenopolis,BR,-15.8525,-48.9592,70.29,96,98,2.71,overcast clouds
521,Matay,EG,28.419,30.7792,45.12,65,9,4.27,clear sky
522,Lewisville,US,33.0462,-96.9942,47.1,48,0,3.44,clear sky
523,Nemuro,JP,43.3236,145.575,27.03,64,52,11.56,broken clouds
524,Tibasosa,CO,5.75,-73.0,52.61,95,68,1.43,broken clouds
525,Kahului,US,20.8947,-156.47,80.62,64,0,5.75,clear sky
526,Ximei,CN,24.9639,118.3794,64.13,63,62,6.76,broken clouds
527,Camana,PE,-16.6228,-72.7111,69.69,80,41,3.83,scattered clouds
528,Usinsk,RU,65.9939,57.5281,0.75,95,97,13.47,overcast clouds
529,Verkh-Usugli,RU,52.7,115.1667,6.31,68,11,0.94,few clouds
530,Rantepao,ID,-2.9701,119.8978,83.3,54,100,2.64,overcast clouds
531,Fatsa,TR,41.0278,37.5014,35.4,69,94,9.64,overcast clouds
532,Tahlequah,US,35.9154,-94.97,30.97,74,0,0.0,clear sky
533,Kefamenanu,ID,-9.4467,124.4781,80.6,68,100,5.19,overcast clouds
534,Zacatepec,MX,18.65,-99.2,78.42,59,24,2.71,few clouds
535,Fukuma,JP,33.7667,130.4667,52.03,40,96,10.58,overcast clouds
536,Mosquera,CO,4.7059,-74.2302,53.69,76,40,6.91,scattered clouds
537,Sistranda,NO,63.7256,8.834,44.56,90,100,28.48,overcast clouds
538,Hofn,IS,64.2539,-15.2082,29.03,54,54,25.68,broken clouds
539,Thinadhoo,MV,0.5333,72.9333,80.62,67,64,8.7,broken clouds
540,Muisne,EC,0.6,-80.0333,74.48,90,96,1.34,light rain
541,Dukat,RU,62.55,155.55,3.88,94,100,5.14,overcast clouds
542,Gilbues,BR,-9.8317,-45.3439,69.75,94,100,3.89,overcast clouds
543,Kandrian,PG,-6.2167,149.55,80.15,83,100,6.33,light rain
544,Hukuntsi,BW,-24.0,21.75,70.36,73,9,8.23,clear sky
545,Svetlaya,RU,46.5389,138.3297,9.82,51,92,9.51,overcast clouds
546,Codroipo,IT,45.96,12.9792,38.08,63,0,5.75,clear sky
547,Nanortalik,GL,60.1432,-45.2371,27.14,78,100,12.71,light snow
548,Rochegda,RU,62.8,43.25,15.44,95,100,7.05,light snow
549,Nova Olimpia,BR,-14.7972,-57.2881,73.26,96,100,2.91,overcast clouds
550,Auki,SB,-8.7676,160.7034,80.42,81,100,3.2,light rain
551,Peniche,PT,39.3558,-9.3811,54.93,45,0,13.13,clear sky
552,Akdepe,TM,42.0551,59.3788,26.6,81,6,6.67,clear sky
553,Koshurnikovo,RU,54.1667,93.3,-1.93,93,100,2.28,overcast clouds
554,Khasan,RU,42.4308,130.6434,22.05,45,19,20.71,few clouds
555,Roebourne,AU,-20.7833,117.1333,95.43,35,11,12.53,few clouds
556,Bardiyah,LY,31.7561,25.0865,52.14,79,75,15.5,broken clouds
557,Bani,DO,18.2833,-70.3333,69.24,83,1,2.84,clear sky
558,Zhaodong,CN,46.0833,125.9833,8.62,79,76,9.37,broken clouds
559,Morondava,MG,-20.2833,44.2833,80.55,74,3,1.34,clear sky
560,Ust-Tsilma,RU,65.441,52.1498,10.22,95,100,8.16,light snow
561,Whitehorse,CA,60.7161,-135.0538,34.57,75,75,13.8,broken clouds
562,Marsh Harbour,BS,26.5412,-77.0636,73.58,66,100,21.41,overcast clouds
563,Cap Malheureux,MU,-19.9842,57.6142,84.47,71,2,4.0,clear sky
564,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,9.22,clear sky
565,Ciudad Bolivar,VE,8.1222,-63.5497,75.76,58,33,12.44,scattered clouds
566,Sterling,US,39.0062,-77.4286,32.9,94,100,1.01,mist
567,Kieta,PG,-6.2167,155.6333,84.54,74,66,6.82,light rain
568,Galeana,MX,24.8333,-100.0667,44.31,96,100,2.77,overcast clouds
569,Conceicao Do Araguaia,BR,-8.2578,-49.2647,70.97,98,89,3.47,overcast clouds
570,Sinnamary,GF,5.3833,-52.95,75.02,87,33,6.55,scattered clouds
571,Hidalgo,MX,20.5,-99.0,45.54,90,100,7.47,overcast clouds
572,Sola,VU,-13.8833,167.55,77.67,94,100,0.0,heavy intensity rain
573,Loa Janan,ID,-0.583,117.095,89.53,56,100,2.19,overcast clouds
574,Mayumba,GA,-3.432,10.6554,75.34,90,87,0.74,overcast clouds
575,Linhares,BR,-19.3911,-40.0722,72.19,95,38,3.24,scattered clouds
576,Mandalgovi,MN,45.7625,106.2708,5.92,82,100,6.78,overcast clouds
577,Leninsk,RU,48.7119,45.1994,25.57,96,98,11.52,snow
578,Yarega,RU,63.4354,53.5765,5.36,94,100,7.25,overcast clouds
579,Athabasca,CA,54.7169,-113.2854,36.01,88,100,4.65,overcast clouds
580,Port Pirie,AU,-33.1833,138.0167,80.69,37,0,15.08,clear sky
581,Abu Kamal,SY,34.4506,40.9171,43.07,80,16,8.97,few clouds
582,Barrhead,GB,55.7992,-4.3929,52.05,85,100,5.99,overcast clouds
583,Safranbolu,TR,41.2508,32.6942,21.85,87,98,1.66,overcast clouds
584,Tabou,CI,4.423,-7.3528,78.53,83,60,1.66,broken clouds
585,Khandyga,RU,62.6667,135.6,-27.24,92,43,0.63,scattered clouds
586,Abu Dhabi,AE,24.4667,54.3667,66.96,75,0,4.61,clear sky
587,Kollam,IN,8.8833,76.6,85.87,57,20,9.75,few clouds
588,Santa Cruz De La Palma,ES,28.6835,-17.7642,59.14,67,0,9.22,clear sky
589,Mancio Lima,BR,-7.6142,-72.8958,74.93,91,100,3.02,overcast clouds
590,Pokaran,IN,26.9167,71.9167,65.34,15,0,6.08,clear sky
591,Edea,CM,3.8,10.1333,74.98,94,100,2.59,overcast clouds
592,Williston,US,48.147,-103.618,28.81,90,100,4.59,overcast clouds
593,Ust-Koksa,RU,50.2696,85.6108,-2.87,81,44,0.74,scattered clouds
594,Almaznyy,RU,48.0448,40.045,32.14,97,100,13.49,light snow
595,Banamba,ML,13.55,-7.45,69.48,18,36,9.93,scattered clouds
596,Storforshei,NO,66.4043,14.5233,24.55,95,100,7.14,light snow
597,Atar,MR,20.5169,-13.0499,69.62,25,100,7.72,overcast clouds
598,Yulara,AU,-25.2406,130.9889,93.04,36,61,17.27,broken clouds
599,Umm Lajj,SA,25.0213,37.2685,59.83,47,0,10.0,clear sky
600,Atyrau,KZ,47.1167,51.8833,19.42,86,75,17.9,mist
601,La Romana,DO,18.4273,-68.9728,73.13,94,20,0.0,few clouds
602,Banikoara,BJ,11.2985,2.4386,70.88,20,1,8.79,clear sky
603,Nha Trang,VN,12.25,109.1833,82.4,60,61,4.27,broken clouds
604,Tommot,RU,58.9564,126.2925,0.48,91,100,10.42,overcast clouds
605,Tongzhou,CN,39.9053,116.5994,35.71,21,0,6.71,clear sky
606,Zaysan,KZ,47.4667,84.8667,-0.9,91,59,1.32,broken clouds
607,Fort Smith,US,35.3859,-94.3986,34.34,57,0,0.0,clear sky
608,Jerome,US,42.7241,-114.5186,18.43,73,0,24.16,clear sky
609,Rosario Oeste,BR,-14.8361,-56.4275,73.51,96,100,3.42,moderate rain
610,Yarmouth,US,41.7057,-70.2286,36.14,85,100,15.01,snow
611,Ahome,MX,25.9167,-109.1833,60.75,84,0,8.14,clear sky
612,Tupiza,BO,-21.45,-65.7167,56.32,82,99,6.38,light rain
613,Lensk,RU,60.7253,114.9278,-4.54,94,100,8.03,overcast clouds
614,Troitsko-Pechorsk,RU,62.7084,56.1964,2.53,97,100,6.71,overcast clouds
615,Lima,PE,-12.0432,-77.0282,70.9,73,0,11.5,clear sky
616,Mococa,BR,-21.4678,-47.0047,67.35,97,100,0.67,light rain
617,Rio Grande,BR,-32.035,-52.0986,68.11,64,4,10.27,clear sky
618,Tezu,IN,27.9167,96.1667,66.2,24,0,4.29,clear sky
619,Ndele,CF,8.4109,20.6473,65.52,22,79,6.58,broken clouds
620,Jalu,LY,29.0331,21.5482,50.13,80,61,7.94,broken clouds
621,Harbour Breton,CA,47.4833,-55.7983,32.0,76,100,16.31,overcast clouds
622,Nantucket,US,41.2835,-70.0995,37.51,79,100,14.97,snow
623,Coruripe,BR,-10.1256,-36.1756,78.19,80,100,11.05,moderate rain
624,Manapa,PH,8.9778,125.4394,86.86,63,22,2.01,few clouds
625,Khromtau,KZ,50.2503,58.4347,9.97,90,100,5.82,overcast clouds
626,Palmerston,AU,-12.486,130.9833,88.93,72,75,20.71,light intensity shower rain
627,Baoro,CF,5.6667,15.9667,69.01,23,69,10.65,broken clouds
628,Barra Do Bugres,BR,-15.0725,-57.1811,73.27,97,100,2.89,overcast clouds
629,Kaspiyskiy,RU,45.3929,47.3707,29.05,84,18,6.46,few clouds
630,Fomboni,KM,-12.28,43.7425,81.37,69,100,2.66,overcast clouds
631,Wageningen,NL,51.9667,5.6667,46.85,98,100,14.97,mist
632,Aksu,CN,41.1231,80.2644,27.3,40,87,4.56,overcast clouds
633,Dandong,CN,40.1292,124.3947,25.14,29,0,11.16,clear sky
634,Bariadi,TZ,-2.8,33.9833,65.84,74,100,5.57,overcast clouds
635,Aklera,IN,24.4167,76.5667,60.98,33,0,3.53,clear sky
636,Dong Hoi,VN,17.4833,106.6,77.05,76,26,7.14,scattered clouds
637,Cedar City,US,37.6775,-113.0619,27.39,50,0,3.44,clear sky
638,Mao,ES,39.8885,4.2658,48.76,76,0,11.5,clear sky
639,Igrim,RU,63.1906,64.4162,-12.66,99,86,4.83,overcast clouds
640,Hailar,CN,49.2,119.7,-1.91,83,15,6.42,few clouds
641,Biltine,TD,14.5333,20.9167,57.15,16,23,12.59,few clouds
642,Micoud,LC,13.8167,-60.9,75.13,88,75,5.75,broken clouds
643,Brae,GB,60.3964,-1.353,49.91,93,100,33.73,overcast clouds
644,Antofagasta,CL,-23.65,-70.4,65.48,80,59,3.33,broken clouds
