,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Kiunga,PG,-6.1219,141.2906,83.23,66,96,2.37,overcast clouds
302,Dauriya,RU,49.9333,116.8667,-2.13,83,8,4.85,clear sky
303,Acajutla,SV,13.5928,-89.8275,78.8,74,0,8.43,clear sky
304,Coari,BR,-4.085,-63.1414,73.44,99,100,2.55,overcast clouds
305,Danville,US,36.586,-79.395,36.21,90,100,4.61,mist
306,Hasaki,JP,35.7333,140.8333,46.8,65,100,6.64,overcast clouds
307,Faanui,PF,-16.4833,-151.75,80.92,75,17,13.62,light rain
308,Stillwater,US,36.1156,-97.0584,39.85,64,0,0.0,clear sky
309,Puerto Leguizamo,CO,-0.1934,-74.7819,74.32,65,100,0.58,overcast clouds
310,Galesong,ID,-5.3166,119.3661,87.82,71,100,5.5,overcast clouds
311,Pochutla,MX,15.7432,-96.4661,79.65,90,2,4.0,clear sky
312,Yangambi,CD,0.8102,24.4336,68.65,84,100,2.3,overcast clouds
313,Dawei,MM,14.0833,98.2,86.52,46,55,5.75,broken clouds
314,Lalpur,IN,22.2,69.9667,52.88,31,1,8.5,clear sky
315,Kudat,MY,6.8837,116.8477,84.29,74,20,2.3,few clouds
316,Ransang,PH,8.9603,117.5828,85.21,67,88,3.71,overcast clouds
317,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,88,75,5.75,broken clouds
318,Lalganj,IN,25.8667,85.1833,48.15,45,0,6.76,clear sky
319,Katrineholm,SE,58.9959,16.2072,35.73,91,100,13.51,overcast clouds
320,Agirish,RU,61.9247,63.0231,-10.07,99,63,4.21,broken clouds
321,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,29.93,heavy snow
322,East London,ZA,-33.0153,27.9116,65.64,79,4,8.34,clear sky
323,Vao,NC,-22.6667,167.4833,77.92,88,100,23.2,moderate rain
324,Tucuma,BR,-0.1833,-50.05,73.6,95,100,4.9,overcast clouds
325,Mogadishu,SO,2.0371,45.3438,75.06,80,99,18.66,overcast clouds
326,Maturin,VE,9.75,-63.1767,66.42,95,0,5.44,clear sky
327,Chandur,IN,19.7333,79.1833,65.32,30,0,4.07,clear sky
328,Lashio,MM,22.9333,97.75,68.11,48,1,1.61,clear sky
329,Xuddur,SO,4.1213,43.8894,66.76,81,63,16.71,broken clouds
330,Acari,PE,-15.4311,-74.6158,70.93,76,46,3.11,scattered clouds
331,Key West,US,24.5557,-81.7826,73.4,74,100,9.22,overcast clouds
332,Namatanai,PG,-3.6667,152.4333,84.92,71,100,5.88,light rain
333,Port Elizabeth,ZA,-33.918,25.5701,65.1,94,20,8.05,few clouds
334,Riyadh,SA,24.6877,46.7219,48.34,35,0,5.1,clear sky
335,Esperance,AU,-33.8667,121.9,87.64,43,0,13.65,clear sky
336,Pangnirtung,CA,66.1451,-65.7125,-11.56,100,100,2.82,overcast clouds
337,Bowen,AU,-20.0167,148.2333,86.22,66,14,18.88,few clouds
338,Luancheng,CN,37.8792,114.6517,32.16,43,0,2.51,clear sky
339,Nioki,CD,-2.7167,17.6833,72.5,77,99,0.92,overcast clouds
340,Richards Bay,ZA,-28.783,32.0377,72.88,85,96,11.7,light rain
341,Suozhen,CN,36.9539,118.1047,43.21,36,28,4.12,scattered clouds
342,Port-Gentil,GA,-0.7193,8.7815,79.72,84,100,10.0,overcast clouds
343,Hambantota,LK,6.1241,81.1185,80.94,83,20,5.75,few clouds
344,Klyuchi,RU,52.2667,79.1667,3.33,86,99,8.14,overcast clouds
345,Zhangjiakou,CN,40.81,114.8794,24.21,39,0,2.68,clear sky
