City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Tabuk,PH,79.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
157,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
158,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
160,Paragominas,BR,70.56,overcast clouds,-2.9667,-47.4833,INOVA
165,Carutapera,BR,75.25,moderate rain,-1.195,-46.02,Lidera
168,Itaituba,BR,74.14,light rain,-4.2761,-55.9836,Hotel Campos
172,Waw,SS,65.43,broken clouds,7.7029,27.9953,Universal Gab Hotel
173,Coahuayana,MX,70.61,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
195,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
196,Alice Springs,AU,78.35,light intensity shower rain,-23.7,133.8833,Desert Palms Alice Springs
199,Hualmay,PE,69.82,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
200,Saint-Pierre,RE,78.19,clear sky,-21.3393,55.4781,Lindsey Hôtel
201,Salalah,OM,69.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
204,Kandi,BJ,70.43,clear sky,11.1342,2.9386,Baric Motel De Kandi
208,Abonnema,NG,76.69,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
210,Dwarka,IN,66.85,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
212,Tuatapere,NZ,66.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
216,San Cristobal,VE,69.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
218,La Libertad,EC,74.82,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
219,Sur,OM,68.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
221,Yenagoa,NG,74.97,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
224,Jawhar,SO,71.94,overcast clouds,2.7809,45.5005,hantiwadaag village part one
225,Capivari,BR,72.61,overcast clouds,-22.995,-47.5078,Pousada Callegaro
226,Rawson,AR,67.28,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
229,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
230,Douentza,ML,66.63,clear sky,14.9951,-2.9517,Ogomono Doumbo
233,Mount Isa,AU,74.97,shower rain,-20.7333,139.5,ibis Styles Mt Isa Verona
243,Ixtapa,MX,71.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
250,Salur,IN,71.67,few clouds,18.5333,83.2167,Pradeep
253,Inirida,CO,73.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
254,Alta Floresta,BR,69.71,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
255,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
256,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
257,Adilabad,IN,66.34,clear sky,19.6667,78.5333,Dwaraka Hotel.
263,Paengaroa,NZ,74.08,clear sky,-37.8167,176.4167,Kiwi Corral
268,Codrington,AU,66.25,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
269,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
276,Ambilobe,MG,75.63,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
277,Shirgaon,IN,73.42,clear sky,19.7,72.7,"Samarth Krupa Farm, Palghar"
278,Mount Gambier,AU,71.51,overcast clouds,-37.8333,140.7667,The Commodore
279,Touros,BR,74.3,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
285,Vila Do Maio,CV,68.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
288,Pinotepa Nacional,MX,72.7,clear sky,16.3167,-98.0167,Hotel Maria Del Carmen
289,Isangel,VU,77.11,thunderstorm with light rain,-19.55,169.2667,Tanna Lodge
299,Cidreira,BR,69.39,few clouds,-30.1811,-50.2056,Hotel Castelo
