City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Kathmandu,NP,2022-01-29 00:26:53,27.7167,85.3167,39.42,93,20,2.3
98,Flinders,AU,2022-01-29 00:26:54,-34.5833,150.8552,85.05,71,30,5.01
99,Hithadhoo,MV,2022-01-29 00:26:54,-0.6,73.0833,80.29,66,53,7.94
100,Mangai,CD,2022-01-29 00:26:54,-4.05,19.5333,72.07,82,100,1.39
101,Cherskiy,RU,2022-01-29 00:22:07,68.75,161.3,-9.38,93,100,4.36
102,Ust-Ilimsk,RU,2022-01-29 00:26:55,58.0006,102.6619,-17.1,100,90,3.04
103,Vaini,TO,2022-01-29 00:26:55,-21.2,-175.2,82.56,79,98,18.45
104,La Ronge,CA,2022-01-29 00:26:56,55.1001,-105.2842,12.45,79,100,5.75
105,Umm Lajj,SA,2022-01-29 00:26:56,25.0213,37.2685,60.48,49,2,13.35
106,Imelda,PH,2022-01-29 00:26:57,7.65,123.95,79.99,85,26,3.24
107,Chokurdakh,RU,2022-01-29 00:26:57,70.6333,147.9167,-30.03,96,95,1.86
108,Avarua,CK,2022-01-29 00:26:57,-21.2078,-159.775,82.45,74,19,12.66
109,Pacific Grove,US,2022-01-29 00:26:58,36.6177,-121.9166,71.55,39,0,3.0
110,Svetlaya,RU,2022-01-29 00:26:58,46.5389,138.3297,4.6,67,8,8.16
111,Ketchikan,US,2022-01-29 00:26:58,55.3422,-131.6461,45.07,93,100,13.8
112,Lorengau,PG,2022-01-29 00:26:59,-2.0226,147.2712,81.77,81,98,5.23
113,Itarema,BR,2022-01-29 00:26:59,-2.9248,-39.9167,73.31,84,100,6.6
114,Ostrovnoy,RU,2022-01-29 00:27:00,68.0531,39.5131,11.41,94,90,9.06
115,Port Alfred,ZA,2022-01-29 00:27:00,-33.5906,26.891,65.79,81,22,7.96
116,Port Elizabeth,ZA,2022-01-29 00:24:34,-33.918,25.5701,66.09,94,75,12.66
117,Jijiga,ET,2022-01-29 00:27:00,9.35,42.8,57.34,46,68,11.74
118,Talaya,RU,2022-01-29 00:27:01,61.3833,152.75,-8.73,97,100,5.64
119,Villefranche-Sur-Saone,FR,2022-01-29 00:27:01,45.9833,4.7167,36.14,88,29,4.0
120,Anadyr,RU,2022-01-29 00:27:02,64.75,177.4833,-3.5,77,20,4.47
121,Bintulu,MY,2022-01-29 00:27:02,3.1667,113.0333,77.41,94,40,3.44
122,Praia Da Vitoria,PT,2022-01-29 00:27:02,38.7333,-27.0667,57.45,82,20,12.3
123,Makakilo City,US,2022-01-29 00:27:03,21.3469,-158.0858,80.92,58,0,14.97
124,Kikwit,CD,2022-01-29 00:27:03,-5.041,18.8162,72.86,83,100,1.97
125,Lebu,CL,2022-01-29 00:25:18,-37.6167,-73.65,60.85,87,1,4.94
126,Maldonado,UY,2022-01-29 00:22:04,-34.6667,-54.9167,67.39,75,2,6.04
127,Paraiso,CR,2022-01-29 00:27:04,9.8383,-83.8656,68.86,97,89,2.77
128,Cheney,US,2022-01-29 00:23:32,47.4874,-117.5758,34.99,87,75,0.0
129,Kloulklubed,PW,2022-01-29 00:27:04,7.0419,134.2556,82.9,79,88,13.78
130,Mar Del Plata,AR,2022-01-29 00:27:05,-38.0023,-57.5575,69.87,75,0,21.99
131,Vaxjo,SE,2022-01-29 00:27:05,56.8777,14.8091,34.81,96,20,9.22
132,Carnarvon,AU,2022-01-29 00:25:22,-24.8667,113.6333,77.07,83,40,13.8
133,Cesvaine,LV,2022-01-29 00:27:06,56.9667,26.3167,26.94,88,99,11.54
134,Burnie,AU,2022-01-29 00:27:06,-41.0667,145.9167,70.95,86,39,9.46
135,Tura,IN,2022-01-29 00:27:07,25.5198,90.2201,49.26,56,0,3.62
136,Saint-Denis,FR,2022-01-29 00:27:07,48.9167,2.3333,45.1,87,100,5.01
137,Mackay,AU,2022-01-29 00:28:07,-21.15,149.2,82.69,83,75,20.71
138,Kapaa,US,2022-01-29 00:28:08,22.0752,-159.319,80.47,75,0,3.0
139,Melfi,IT,2022-01-29 00:28:08,40.9965,15.6514,39.4,91,86,4.5
140,Souillac,MU,2022-01-29 00:28:08,-20.5167,57.5167,77.38,88,40,0.0
141,Kapitanivka,UA,2022-01-29 00:28:09,48.9172,31.7167,32.43,97,98,15.35
142,Bethel,US,2022-01-29 00:26:38,41.3712,-73.414,30.65,87,75,4.61
143,Khorramshahr,IR,2022-01-29 00:28:09,30.4397,48.1664,44.56,70,29,2.3
144,North Bend,US,2022-01-29 00:28:10,43.4065,-124.2243,58.86,71,0,4.61
145,Bambous Virieux,MU,2022-01-29 00:27:45,-20.3428,57.7575,77.25,88,40,0.0
146,Point Pleasant,US,2022-01-29 00:28:10,40.0832,-74.0682,33.31,79,100,1.01
147,Hobyo,SO,2022-01-29 00:28:10,5.3505,48.5268,76.28,67,71,20.2
148,Ust-Shonosha,RU,2022-01-29 00:28:11,61.1531,41.343,14.68,95,100,6.4
149,Taoudenni,ML,2022-01-29 00:25:42,22.6783,-3.9836,71.85,11,97,13.51
150,Dothan,US,2022-01-29 00:24:35,31.2232,-85.3905,47.7,48,20,4.0
151,Beringovskiy,RU,2022-01-29 00:28:11,63.05,179.3167,-1.23,97,97,2.3
152,Najran,SA,2022-01-29 00:28:12,17.4924,44.1277,52.45,28,15,3.04
153,Ereymentau,KZ,2022-01-29 00:28:12,51.6199,73.1033,3.33,81,85,4.45
154,Hualmay,PE,2022-01-29 00:28:13,-11.0964,-77.6139,70.45,81,100,9.35
155,Kemi,FI,2022-01-29 00:28:13,65.8596,24.8228,8.37,92,32,3.44
156,Shelburne,CA,2022-01-29 00:28:13,44.0787,-80.2041,3.65,98,40,3.94
157,Mbini,GQ,2022-01-29 00:28:14,1.574,9.6134,76.84,81,85,5.37
158,Morant Bay,JM,2022-01-29 00:28:14,17.8815,-76.4093,80.22,77,50,3.89
159,Arraial Do Cabo,BR,2022-01-29 00:28:15,-22.9661,-42.0278,75.16,94,20,3.44
160,Keningau,MY,2022-01-29 00:28:15,5.3378,116.1602,77.45,96,84,0.54
161,Toowoomba,AU,2022-01-29 00:28:15,-27.55,151.9667,72.34,81,51,4.0
162,Muncar,ID,2022-01-29 00:28:16,-8.4333,114.3333,77.41,85,100,2.86
163,Cidreira,BR,2022-01-29 00:28:16,-30.1811,-50.2056,70.47,69,53,13.06
164,Katy,US,2022-01-29 00:25:31,29.7858,-95.8244,55.51,38,0,1.01
165,East London,ZA,2022-01-29 00:28:16,-33.0153,27.9116,67.95,77,47,11.5
166,Nanortalik,GL,2022-01-29 00:26:19,60.1432,-45.2371,26.15,90,100,12.17
167,Inhambane,MZ,2022-01-29 00:28:17,-23.865,35.3833,75.51,82,28,5.3
168,Gazli,UZ,2022-01-29 00:28:17,40.1333,63.45,35.24,73,89,14.41
169,Barguzin,RU,2022-01-29 00:28:18,53.6167,109.6167,-13.54,93,46,2.15
170,Codrington,AU,2022-01-29 00:24:28,-38.2667,141.9667,64.53,75,97,12.66
171,Tasiilaq,GL,2022-01-29 00:28:18,65.6145,-37.6368,15.96,69,48,6.64
172,Hukuntsi,BW,2022-01-29 00:28:19,-24.0,21.75,73.83,63,19,12.39
173,Humaita,BR,2022-01-29 00:27:52,-7.5061,-63.0208,74.37,97,100,3.51
174,Manakara,MG,2022-01-29 00:28:19,-22.1333,48.0167,69.48,86,4,4.23
175,Merauke,ID,2022-01-29 00:28:20,-8.4667,140.3333,83.88,74,100,10.27
176,Catemaco,MX,2022-01-29 00:28:20,18.4167,-95.1167,67.75,94,78,11.07
177,Arona,ES,2022-01-29 00:28:20,28.0996,-16.681,59.4,55,20,1.99
178,Piterka,RU,2022-01-29 00:28:21,50.6803,47.4454,0.19,100,100,5.3
179,Sitka,US,2022-01-29 00:28:22,57.0531,-135.33,42.69,81,100,11.5
180,Mondovi,IT,2022-01-29 00:28:22,44.396,7.8176,49.35,39,94,2.1
181,Mancio Lima,BR,2022-01-29 00:28:22,-7.6142,-72.8958,78.64,80,100,2.53
182,Hasaki,JP,2022-01-29 00:28:23,35.7333,140.8333,37.8,61,100,5.75
183,Cianorte,BR,2022-01-29 00:28:42,-23.6633,-52.605,75.34,99,94,4.79
184,Saint Anthony,US,2022-01-29 00:29:23,45.0205,-93.218,13.84,62,40,3.0
185,Mimongo,GA,2022-01-29 00:29:24,-1.6195,11.6068,69.44,93,94,2.82
186,Ayagoz,KZ,2022-01-29 00:29:24,47.9714,80.4392,-9.99,91,25,7.25
187,Saint-Augustin,CA,2022-01-29 00:29:24,51.226,-58.6502,19.38,91,100,6.53
188,Voh,NC,2022-01-29 00:29:25,-20.9667,164.7,88.05,56,92,8.3
189,Kaitangata,NZ,2022-01-29 00:29:25,-46.2817,169.8464,63.93,74,93,3.53
190,Broken Hill,AU,2022-01-29 00:29:25,-31.95,141.4333,73.11,73,100,17.27
191,Saskylakh,RU,2022-01-29 00:29:26,71.9167,114.0833,-1.75,92,100,5.57
192,Kargopol,RU,2022-01-29 00:29:26,61.5071,38.9456,15.78,96,100,5.32
193,Broome,US,2022-01-29 00:26:43,42.2506,-75.833,20.01,76,100,1.99
194,San Jose,US,2022-01-29 00:25:31,37.3394,-121.895,69.12,43,40,3.0
195,Husavik,IS,2022-01-29 00:29:27,66.0449,-17.3389,28.31,94,95,27.92
196,Merrill,US,2022-01-29 00:29:27,45.1805,-89.6835,11.17,56,100,6.91
197,Lashio,MM,2022-01-29 00:29:27,22.9333,97.75,46.47,97,4,1.23
198,Georgetown,MY,2022-01-29 00:29:28,5.4112,100.3354,79.9,91,20,3.44
199,Rapid Valley,US,2022-01-29 00:29:28,44.0625,-103.1463,45.45,36,0,3.44
200,Rocha,UY,2022-01-29 00:29:28,-34.4833,-54.3333,60.57,78,5,4.14
201,Maniitsoq,GL,2022-01-29 00:29:29,65.4167,-52.9,20.66,82,100,33.58
202,Ourossogui,SN,2022-01-29 00:29:29,15.6064,-13.3211,80.6,26,0,4.61
203,Padang,ID,2022-01-29 00:26:59,-0.9492,100.3543,75.25,84,92,3.96
204,Revda,RU,2022-01-29 00:29:30,56.801,59.9303,-6.79,98,98,1.61
205,Bagdarin,RU,2022-01-29 00:29:30,54.4333,113.6,-14.31,95,16,3.98
206,Faya,SA,2022-01-29 00:29:30,18.3851,42.4509,52.32,91,81,4.61
207,Banjar,ID,2022-01-29 00:29:31,-8.19,114.9675,82.26,88,100,0.96
208,Mana,GF,2022-01-29 00:29:31,5.6592,-53.7767,76.3,80,30,8.23
209,Requena,ES,2022-01-29 00:29:31,39.4883,-1.1004,40.71,30,2,3.44
210,Acara,BR,2022-01-29 00:29:32,-1.9608,-48.1967,72.81,96,96,3.76
211,Guaruja,BR,2022-01-29 00:29:32,-23.9931,-46.2564,78.89,26,100,17.34
212,Sorong,ID,2022-01-29 00:29:33,-0.8833,131.25,82.56,80,100,12.01
213,Lormi,IN,2022-01-29 00:29:33,22.2833,81.7333,48.67,49,3,4.61
214,Arys,KZ,2022-01-29 00:29:33,42.4252,68.795,39.42,74,100,24.11
